,1,2,3
1,37.28,37.06,0.0
2,37.28,37.06,0.0
3,37.28,37.06,8.93
4,37.28,37.06,0.0
5,37.28,37.06,8.93
6,37.28,37.06,8.93
7,47.42,37.43,8.93
8,47.42,37.06,8.93
9,47.42,20.332732141376376,0.0
10,37.28,15.984906246952999,0.0
11,37.28,8.85,0.0
12,36.05,8.85,0.0
13,36.05,0.0,0.0
14,36.05,0.0,0.0
15,36.05,8.85,0.0
16,36.05,15.457507247925305,0.0
17,37.28,20.627327489527293,8.93
18,47.42,37.43,8.93
19,47.42,37.43,8.93
20,47.42,37.43,8.93
21,47.42,37.43,8.93
22,37.28,37.28,37.28
23,37.28,37.06,35.9999999
24,36.473992990964575,37.06,35.9999999
25,36.473992990964575,37.06,35.9999999
26,36.473992990964575,37.06,35.9999999
27,37.28,37.06,36.9054655223612
28,37.28,37.06,36.9054655223612
29,37.28,37.28,37.28
30,37.28,37.28,37.28
31,37.43,37.43,37.43
32,37.43,37.43,37.43
33,37.28,37.28,37.28
34,36.05,37.06,8.93
35,36.05,37.06,8.93
36,36.05,8.85,8.93
37,36.05,8.85,0.0
38,36.05,8.85,0.0
39,36.05,14.874379400263098,0.0
40,36.05,20.119824392098064,8.93
41,37.28,37.43,8.93
42,48.19,50.00738999935439,46.72
43,48.53,50.76773870668805,46.72
44,60.443440178640216,77.41,46.72
45,48.53,50.76773870668805,46.72
46,48.53,50.76773870668805,46.72
47,48.53,50.76773870668805,46.72
48,48.53,50.76773870668805,46.72
49,48.53,50.76773870668805,46.72
50,48.53,50.76773870668805,46.72
51,48.53,50.76773870668805,46.72
52,48.53,50.12485244841303,47.24
53,61.040503812084744,77.41,47.799999899999996
54,61.068145704809545,77.41,47.85
55,61.068145704809545,77.41,47.85
56,61.068145704809545,77.41,47.85
57,48.53,49.37069741466733,47.85
58,48.53,49.43251327740796,47.8000001
59,48.53,49.43251327740796,47.8000001
60,48.53,49.43251327740796,47.8000001
61,48.53,49.43251327740796,47.8000001
62,48.53,49.43251327740796,47.8000001
63,61.068145704809545,77.41,47.85
64,61.068145704809545,77.41,47.85
65,61.16212795210935,77.41,48.02
66,61.16212795210935,77.41,48.02
67,61.16212795210935,77.41,48.02
68,61.16212795210935,77.41,48.02
69,48.53,49.1605230610005,48.02
70,48.53,49.37069741466733,47.85
71,48.53,49.43251327740796,47.8000001
72,48.53,49.43251327740796,47.8000001
73,48.53,49.43251327740796,47.8000001
74,48.53,49.43251327740796,47.8000001
75,61.04050392265209,77.41,47.8000001
76,61.068145704809545,77.41,47.85
77,61.16212795210935,77.41,48.02
78,65.64,77.41,56.119808953418705
79,66.57,77.41,57.80204155098205
80,65.64,77.41,56.119808953418705
81,61.16212795210935,77.41,48.02
82,48.53,49.1605230610005,48.02
83,48.53,49.37069741466733,47.85
84,48.53,49.37069741466733,47.85
85,48.53,49.43251327740796,47.8000001
86,48.53,49.43251327740796,47.8000001
87,48.19,48.672164570074294,47.8000001
88,48.19,48.672164817338235,47.799999899999996
89,48.53,49.43251327740796,47.8000001
90,48.53,49.37069741466733,47.85
91,61.16212795210935,77.41,48.02
92,48.53,49.1605230610005,48.02
93,48.53,49.37069741466733,47.85
94,48.19,48.61034870733366,47.85
95,48.19,48.61034870733366,47.85
96,48.53,49.43251327740796,47.8000001
97,48.19,48.672164570074294,47.8000001
98,48.53,49.43251327740796,47.8000001
99,48.53,49.43251327740796,47.8000001
100,48.53,49.37069741466733,47.85
101,61.068145704809545,77.41,47.85
102,61.16212795210935,77.41,48.02
103,65.64,77.41,56.119808953418705
104,48.53,49.1605230610005,48.02
105,48.53,49.43251352467191,47.799999899999996
106,48.53,48.09585323746409,47.799999899999996
107,48.19,37.43,47.24
108,48.19,47.62501456450607,47.24
109,48.19,47.958058551219814,47.799999899999996
110,48.19,47.958058551219814,47.799999899999996
111,48.53,49.43251352467191,47.799999899999996
112,48.53,49.43251352467191,47.799999899999996
113,48.53,49.37069741466733,47.85
114,61.16212795210935,77.41,48.02
115,61.16212795210935,77.41,48.02
116,48.53,49.1605230610005,48.02
117,48.53,49.37069741466733,47.85
118,48.53,49.37069741466733,47.85
119,48.53,49.43251327740796,47.8000001
120,48.53,49.43251352467191,47.799999899999996
121,48.53,49.43251352467191,47.799999899999996
122,48.53,49.43251352467191,47.799999899999996
123,48.53,49.43251327740796,47.8000001
124,61.04050392265209,77.41,47.8000001
125,61.068145704809545,77.41,47.85
126,61.16212795210935,77.41,48.02
127,61.16212795210935,77.41,48.02
128,61.16212795210935,77.41,48.02
129,61.068145704809545,77.41,47.85
130,61.068145704809545,77.41,47.85
131,48.53,49.37069741466733,47.85
132,48.53,49.37069741466733,47.85
133,48.53,49.43251327740796,47.8000001
134,48.53,49.43251327740796,47.8000001
135,48.53,49.43251327740796,47.8000001
136,48.53,49.43251327740796,47.8000001
137,48.53,49.37069741466733,47.85
138,61.16212795210935,77.41,48.02
139,61.16212795210935,77.41,48.02
140,61.16212795210935,77.41,48.02
141,48.53,49.37069741466733,47.85
142,48.53,49.37069741466733,47.85
143,48.53,49.43251327740796,47.8000001
144,48.53,49.43251327740796,47.8000001
145,48.53,49.43251327740796,47.8000001
146,48.53,49.43251352467191,47.799999899999996
147,48.53,49.43251352467191,47.799999899999996
148,48.53,49.43251352467191,47.799999899999996
149,48.19,49.36450374107935,47.24
150,48.53,50.12485244841303,47.24
151,48.53,50.12485244841303,47.24
